AverageSalary,Job,Organization,Data
109918,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
101384,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
89911,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה כירורגית כלי דם
87913,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת גסטרואנטרולוגיה
86676,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקה כירורגית חזה
82755,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה ברדיולוגיה
81881,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
81595,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף
81121,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
80526,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
80454,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,התעשיה האוירית לישראל בע"מ,מנהל ראשי
79549,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל כללי
77319,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,מכבי שירותי בריאות,מנהל כללי
77243,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,רופא מומחה בקרדיולוגיה
77228,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל מחלקת הדמיה וגניקולוגיה
76764,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל יחידה מקצועית
76439,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,אוניברסיטת בר אילן,החוג המשולב
75283,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מנהל אגף כספים
74216,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,שירותי בריאות כללית,מנהל מחלקת קרדיולוגיה
73771,טקסטטקסטטקסטטקסטטקסטטקסטטקסט,קופת-חולים "מאוחדת",מבקר פנימי